"Specie","promedio_moisture","sd_moisture","promedio_HMF","sd_HMF","promedio_colorimetry","sd_colorimetry","promedio_PH","sd_PH","promedio_conductivity","sd_conductivity","promedio_ash","sd_Ash","promedio_sugar","sd_sugar"
"Melipona beecheii",22.7444444444444,1.25210933139953,2.02222222222222,1.24777579894965,48.0555555555556,8.91432991187659,4.65388888888889,0.769235731821599,339.877777777778,140.037707223606,100.57,88.7356275686378,537.5,88.8658700353677
"Scaptotrigona mexicana",25.125,2.50128538384339,1.875,2.20048695909402,46.125,16.3570648781672,3.883125,0.238820576703815,387.2875,194.836425440859,139.7525,115.259899079056,372.285714285714,47.6540109739439
